SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      DATEFIN                                      5 HISTO_SAISONGEST_PRODCOL       HISTO_SAISONGEST_PRODCOL_PK    NORMAL                      UNIQUE       2313061      238843 04-JUN-14 YES       83886080  2147483645     1048576
STORELAND                      CODEPRODUIT                                  1 HISTO_STATS_PRODUIT_COLORIS    HISTO_STATS_PRODUIT_COLORIS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      CODECOLORIS                                  2 HISTO_STATS_PRODUIT_COLORIS    HISTO_STATS_PRODUIT_COLORIS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      CODEAXESTAT                                  3 HISTO_STATS_PRODUIT_COLORIS    HISTO_STATS_PRODUIT_COLORIS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      DATEDEBUT                                    4 HISTO_STATS_PRODUIT_COLORIS    HISTO_STATS_PRODUIT_COLORIS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      CODESITE                                     1 HISTO_STOCK_SITE               HISTO_STOCK_SITE_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESAISON                                   2 HISTO_STOCK_SITE               HISTO_STOCK_SITE_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECLASSPROD3                               3 HISTO_STOCK_SITE               HISTO_STOCK_SITE_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEAXESTAT                                  4 HISTO_STOCK_SITE               HISTO_STOCK_SITE_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEELEMENTSTAT                              5 HISTO_STOCK_SITE               HISTO_STOCK_SITE_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATEHISTORIQUE                               1 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESITE                                     2 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESAISON                                   3 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEAXESTAT                                  4 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEELEMENTSTAT                              5 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
