STORELAND.Table_name                        Rows_count
FT_LIGNES_HISTO_NSERIE_EXPDPOT                       0
FT_LIGNES_LOCATION_PRODUIT                           0
FT_LIGNES_VENTE_INTERNE                              0
FT_LOCATIONS_PRODUIT                                 0
FT_LOCATIONS_PRODUIT_SAV                             0
FT_LOG_TRAITEMENT                                    0
FT_MAGASINS                                          0
FT_MVT_STOCK                                         0
FT_PARAMETRE                                         0
FT_PAYS                                              0
FT_RECETTES                                          0
FT_REMISE                                            0
FT_REPERIMETRAGE                                     0
FT_SAV                                               0
FT_TVA                                               0
FT_VENTES_INTERNES                                   0
FT_ZABPQ                                             0
GRILLES_AJUSTEMENT_STOCK                             0
GRILLES_REPARTITION_VENTEPOT                         0
GRILLES_TAILLE                                       2
GRILLES_TAILLE_COMPOSANT                             1
GRILLES_TAILLE_GRILLE_TARIF                          1
GRILLES_TARIF                                        0
GRILLES_TARIF_TAILLE                                 1
GRILLES_VARIANTE                                     1
GROUPES_DEPOTS                                       0
GROUPES_LOGISTIQUE                                   0
GROUPES_MAGASIN                                      5
GROUPES_MAGASIN_PCW                                  0
GROUPES_MODULES_ASSORTIMENT                          0
GROUPES_PARAMETRE_PCW                                0
GROUPES_RATIO_TAILLE                                 0
GRPES_MODULES_ASSORT_LANGUES                         0
GRP_RATIO_TAILLE_ASSORT_MAG                          0
GUELTES                                              0
GUELTES_MAGASIN                                      0
HABILITATIONS_BO                                     5
HABILITATIONS_FICHE_CLIENT                           7
HABILITATIONS_FORMULAIRES                          551
HABILITATIONS_UTILISATEUR                        5,248
HABILITATIONS_UTILISATEUR_OLD                        0
HEURES_APPEL_MAGASIN                                 0
HEURES_DEPOT                                         0
HEURES_MAGASIN                                   4,417
HEXAPOSTE                                       39,616
HISTORIQUE_CAISSES                           3,699,356
HISTO_ACCROCHAGES_TICKET                        54,872
HISTO_APPELS_HOTLINE                                 0
HISTO_CAISSES_COMPTA_KOOKAI                          0
HISTO_CB_COLIS                                       0
HISTO_CB_FRN                                 6,030,049
HISTO_COMPOSANTS_FOURNISSEURS                        0
HISTO_DATE_IMPLANT_PRODCOL                           0
HISTO_DEPENSES_RECETTES                        254,727
HISTO_FACTURES_MAGASIN                               0
HISTO_GUELTES                                        0
HISTO_LIGNES_COMMANDE                                0
HISTO_MODIFS_CLIENTS                           933,554
HISTO_MVTS_DIV_STOCK_COMP                            0
HISTO_MVTS_NSERIE                                    0
HISTO_MVTS_STOCK_COLIS_DEPOT                         0
HISTO_MVTS_STOCK_DEPOT                               0
HISTO_MVTS_STOCK_DEPOT_COMP                          0
HISTO_MVTS_STOCK_MAG                           451,910
HISTO_MVTS_STOCK_MAG_NSERIE                          0
HISTO_OSCC                                     519,859
HISTO_PERS_MAG_IDE                                  10
HISTO_PRODUITS_FOURNISSEURS                          0
HISTO_QTE_RESERVEE_CDE                               0
HISTO_REPORTS_DATE_CDE_COMP                          0
HISTO_REPORTS_DATE_CDE_PF                            0
HISTO_SAISONGEST_PRODCOL                     2,354,079
HISTO_STATS_MAGASIN                              7,399
HISTO_STATS_PRODUIT_COLORIS                          0
HISTO_STOCK_SITE                                     0
HISTO_TICKETS_DETAXES                                0
HISTO_TIC_ENTETE                            83,596,750
HISTO_TVA_PAYS                                      10
HISTO_VENTES_ARTICLE_MAG                             0
IMAGES_COMPOSANTS_COLORIS                            0
IMAGES_MAGASIN                                       0
IMAGES_OPE_COMM                                      0
IMAGES_PERSONNEL                                     0
IMAGES_PRODUIT_COLORIS                               0
IMPLANTATION_NOUVEAUTES                              0
IMPLANTATION_NOUVEAUTES_COLIS                        0
IMPLANTATION_NVTES_ARTICLES                          0
IMPORTS_INVDEPOT                                     0
IMPORTS_MAGASIN                                      0
IMPORTS_RECEPTION_TP                                 0
IMPUTATIONS_EC_CONSO_COMP                            0
IMPUTS_EC_CONSO_COMP_OBS                             0
INIT_CONSO_STAT1                                     0
INIT_VTES_ARTICLE_MAG_PERIODE                        0
INTEGRATIONS_VENTE                                   0
INTERLOCUTEURS_CLIENT_NEG                            0
INTERLOCUTEURS_FOURNISSEUR                           0
INTERLOCUTEURS_SOCIETE                               0
INT_ADRESSES_FOURNISSEUR                             0
INT_ARTICLES                                     2,293
INT_ARTICLES_FOURNISSEURS                            0
INT_AXES_STATISTIQUES                                0
INT_CLASSPROD0                                       0
INT_CLASSPROD1                                       0
INT_CLASSPROD2                                       0
INT_CLASSPROD3                                       0
INT_COLORIS                                          0
INT_COLORIS_DE_BASE                                  0
INT_COND_REGLEMENT_FOURNISSEUR                       0
INT_DATES_OPE_COMM                                   2
INT_DESCRIPTIONS_PRODUIT_WEB                     2,293
INT_DEVISES_FOURNISSEUR                              0
INT_ELEMENTS_STATISTIQUES                            0
INT_FOURNISSEURS                                     0
INT_GRILLES_TAILLE                                   0
INT_HISTO_CB_FRN                                 2,710
INT_INFOCARTECLIENTS                             6,220
INT_INFOCLIENTS                                 64,367
INT_INFOCLIENT_GPE_MAGASIN                     132,461
INT_INFOFACTURATION_CLIENT                       6,189
INT_INFOSTATSCLIENTS                            81,360
INT_LIGNES_GRILLE_TAILLE                             0
INT_LIGNES_OPE_COMM                                  0
INT_MODES_REGL_FOURNISSEUR                           0
INT_OPERATIONS_COMMERCIALES                          2
INT_PERSONNELS                                   2,398
INT_PERSONNEL_MAGASIN                            2,398
INT_PRODUITS                                     2,293
INT_PRODUITS_COLORIS                             2,293
INT_PRODUITS_ETIQUETTE                               0
INT_REJETS                                         608
INT_SAISONS                                          0
INT_STATS_PRODUIT_COLORIS                        2,293
INT_STATS_PRODUIT_LBM                              974
INT_STOCKS_ARTICLES_DEPOTS                           0
INT_STOCKS_ARTICLES_MAGASINS                         0
INT_TARIFS                                       2,293
INT_TARIFS_FUTURS                                    0
INT_TARIFS_GROUPE_MAGASIN                           14
INT_TVA_PAYS                                         0
INT_TVA_PRODUIT_PAYS                             2,293
INT_TYPE_AXE_STATISTIQUE                             0
INVALID1103                                      4,205
INVENTAIRES_DEPOT                                    0
INVENTAIRES_DEPOT_ALLEE                              0
INVENTAIRES_DEPOT_RADIO                              0
INVENTAIRES_DEPOT_RADIO_TMP                          0
INVENTAIRES_MAGASIN                                  0
INVENTAIRES_MAGASIN_PRODUIT                          0
JALONS_TRACKING                                      0
JSP_ERREUR                                           0
KK_PRODUITS_CH                                       0
LANCEMENTS_PRODUIT                                   0
LANGUES                                              2
LBM_ACTION_MARKETING                                 6
LBM_ARTICLE                                  5,959,248
LBM_ARTICLE_MANQUANT                               110
LBM_ARTICLE_REVISION                           162,913
LBM_CARTES_CLIENTS                             523,291
LBM_CLIENTS                                    601,294
LBM_CLIENTS_INTERFACE                                0
LBM_CLIENTS_REJET                               29,462
LBM_CLIENT_TOP                                 424,913
LBM_CLIENT_TOP_TEMP                                  0
LBM_COMMANDE_ENTETE                            107,506
LBM_COMMANDE_POSTE                             394,809
LBM_COMMANDE_RETOUR_STATUT                      82,669
LBM_CP                                           9,441
LBM_CP_HISTO                                     9,441
LBM_DETAXE                                     670,000
LBM_EAN                                      6,255,041
LBM_ECARTS                                   1,140,022
