SQL>
SQL> select di.owner
  2       , di.table_name
  3       , di.index_name
  4       , di.index_type
  5       , di.uniqueness
  6       , di.num_rows
  7       , di.sample_size
  8       , di.last_analyzed
  9       , di.global_stats
 10       , di.initial_extent
 11       , di.max_extents
 12       , di.next_extent
 13    from user_tables ut
 14         inner join dba_indexes di on di.table_name = ut.table_name
 15  ;

OWNER                          TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      SAV_DOSSIERS                   SAV_DOSSIERS_PK                NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_DOSSIERS                   SAV_DOSSIERS_FK1               NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_LIEN_PRESTATAIRES_MAGASIN  SAV_LIEN_PRESTATAIRES_MAG_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_MOTIF_CLOTURE              SAV_MOTIF_CLOTURE_PK           NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_PRESTATAIRE_TYPEPRESTATION SAV_PRESTATAIRE_TYPEPRESTA_FK1 NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_PRESTATAIRE_TYPEPRESTATION SAV_PRESTATAIRE_TYPEPRESTA_PK  NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SAV_TYPES_PRESTATION           SAV_TYPES_PRESTATION_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      COMPTA_VENTES_ANALYTIQUE       COMPTA_VENTES_ANALYTIQUE_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LBM_INT_ADRESSES_CLIENT        PK_INT_LBM_ADRESSES_CLIENT     NORMAL                      UNIQUE             0           0 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_INT_CARTE_FIDELITE_CLIENT  PK_LBM_INT_CARTE_CLIENT        NORMAL                      UNIQUE             0           0 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_INT_CLIENTS_GPE_MAGASIN    INDEX_CODECLIENT               NORMAL                      NONUNIQUE          0           0 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_INT_STATS_CLIENT           PK_LBM_INT_STATS               NORMAL                      UNIQUE           204         204 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_PARAM_INTERFACE_CLI        LBM_PARAM_INTERFACE_CLI_PK     NORMAL                      UNIQUE             6           6 07-AUG-15 YES          65536  2147483645     1048576
STORELAND                      ETATS_LANCEMENT_PRODUIT        ETATS_LANCEMENT_PRODUIT_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LBM_PRELEVEMENTS               LBM_PRELEVEMENTS_PK            NORMAL                      UNIQUE          3709        3709 30-OCT-17 YES          65536  2147483645     1048576
STORELAND                      ETATS_LISTE_PICKING            ETATS_LISTE_PICKING_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      ETATS_NOTE_REGUL               ETATS_NOTE_REGUL_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LBM_RESERVATIONS_A_EXTRAIRE    PK_LBM_RESERVATIONS_A_EXTRAIRE NORMAL                      UNIQUE             0           0 18-APR-17 YES          65536  2147483645     1048576
STORELAND                      LBM_STATS                      PK_LBM_STATS                   NORMAL                      UNIQUE       7018871      212658 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_TICKET_A_EXTRAIRE          LBM_TICKET_A_EXTRAIRE_PK       NORMAL                      UNIQUE           126         126 02-NOV-17 YES          65536  2147483645     1048576
STORELAND                      LBM_TICKET_EXTRAIT             LBM_TICKE_EXTRAIT_PK           NORMAL                      UNIQUE        741769      741769 30-OCT-17 YES         131072  2147483645     1048576
STORELAND                      ETATS_RETOURS_DEPOT            ETATS_RETOURS_DEPOT_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      ETATS_TROLLEY                  ETATS_TROLLEY_PK               NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      EXCEPTIONS_MODULES_ASSORT_MAG  EXCEP_MODULES_ASSORT_MAG_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      EXPORTS_MAGASIN                EXPORTS_MAGASIN_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      EXTRACTION_MVTS_STOCK          EXTRACTION_MVTS_STOCK_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LBM_TICKET_REVISION            IK_NUM_TICKET                  NORMAL                      NONUNIQUE       3261        3261 11-APR-16 YES          65536  2147483645     1048576
STORELAND                      LBM_VENTE_ENTETE_ARCHIVE       LBM_VENTE_ENTETE_ARCHIVE_PK    NORMAL                      UNIQUE             0           0 29-SEP-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_ACHAT                 FACTURES_ACHAT_FK1             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      FACTURES_ACHAT                 FACTURES_ACHAT_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_ACHAT_MULTITVA        FACTURES_ACHAT_MULTITVA_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_CDES                  FACTURES_CDE_PK                NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      FACTURES_CDES                  FACTURES_CDES_PK               NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_EXPORT                FACTURES_EXPORT_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      FACTURES_MAGASIN               FACTURES_MAGASIN_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      FACTURES_MAGASIN               FACTURES_MAGASIN_FK1           NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      FACTURES_NEG                   FACTURES_NEG_PK                NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_TICKET                FACTURES_TICKET_PK             NORMAL                      UNIQUE         16874       16874 04-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_TICKET                FACTURES_TICKET_FK1            NORMAL                      NONUNIQUE      16874       16874 04-JUN-14 YES          65536  2147483645     1048576
STORELAND                      FACTURES_TRANSPORTEUR          FACTURES_TRANSPORTEUR_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LBM_VENTE_ENTETE_ARCHIVE       LBM_VENTE_ENTETE_ARCHIVE_SK    NORMAL                      NONUNIQUE          0           0 29-SEP-14 YES          65536  2147483645     1048576
STORELAND                      AUTRES_MVT_POINTS_FIDELITE     AUTRES_MVT_POINTS_FIDELITE_PK  NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STKOPTIMAL_DEFAUT              STKOPTIMAL_DEFAUT_PK           NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCK_MAGASIN_OPTIMAL          STOCK_MAGASIN_OPTIMAL_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_ARTICLES_DEPOTS         STOCKS_ARTICLES_DEPOTS_FK1     NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_ARTICLES_DEPOTS         STOCKS_ARTICLES_DEPOTS_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_ARTICLES_MAGASINS       STOCKS_ARTICLES_MAGASINS_FK1   NORMAL                      NONUNIQUE    7564869      354136 17-JUL-17 YES        6291456  2147483645     1048576
STORELAND                      STOCKS_ARTICLES_MAGASINS       STOCKS_ARTICLES_MAGASINS_PK    NORMAL                      UNIQUE       7510967      321397 17-JUL-17 YES        6291456  2147483645     1048576
STORELAND                      STOCKS_ARTICLES_MAG_NSERIE     STOCKS_ARTICLES_MAG_NSERIE_PK  NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_COLIS_DEPOTS            STOCKS_COLIS_DEPOTS_FK1        NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_COLIS_DEPOTS            STOCKS_COLIS_DEPOTS_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_COMPOSANTS_DEPOTS       STOCKS_COMPOSANTS_DEPOTS_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_COMPOSANTS_DEPOTS       STOCKS_COMPOSANTS_DEPOTS_FK1   NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STOCKS_COMPOSANTS_DEPOTS       STOCKS_COMPOSANTS_DEPOTS_FK2   NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      STRUCTURES_CB_FRN              STRUCTURES_CB_FRN_PK           NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SUIVI_DISTRIBUTION_RADIO       SUIVI_DISTRIBUTION_RADIO_FK1   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      SUIVI_DISTRIBUTION_RADIO       SUIVI_DISTRIBUTION_RADIO_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      SUIVI_PRELEV_RADIO             SUIVI_PRELEV_RADIO_FK1         NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SUIVI_PRELEV_RADIO             SUIVI_PRELEV_RADIO_PK          NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SUIVI_PRELEV_RCP_RADIO         SUIVI_PRELEV_RCP_RADIO_FK1     NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SUIVI_PRELEV_RCP_RADIO         SUIVI_PRELEV_RCP_RADIO_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      SUIVI_RAMASSAGE_RADIO          SUIVI_RAMASSAGE_RADIO_FK1      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      SUIVI_RAMASSAGE_RADIO          SUIVI_RAMASSAGE_RADIO_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT                 SURCOUTS_ACHAT_FK1             NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT                 SURCOUTS_ACHAT_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_ARTICLE_FRN     SURCOUTS_ACHAT_ARTICLE_FRN_PK  NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_ARTICLE_FRN     SURCOUTS_ACHAT_ARTICLE_FRN_FK2 NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_ARTICLE_FRN     SURCOUTS_ACHAT_ARTICLE_FRN_FK1 NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_CLASSPROD       SURCOUTS_ACHAT_CLASSPROD_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
