SQL> select at.table_name, at.status, at.num_rows, at.last_analyzed , atc.data_type
  2       , ai.index_name, ai.index_type, ai.uniqueness, ai.leaf_blocks, ai.distinct_keys, ai.status as i_status, ai.last_analyzed as i_last_analyzed, ai.global_stats
  3       , aic.column_name, aic.column_position
  4    from all_tables at
  5         inner join all_indexes ai on ai.table_name = at.table_name
  6         inner join all_ind_columns aic on aic.index_name = ai.index_name
  7         inner join all_tab_columns atc on atc.table_name = aic.table_name and atc.column_name = aic.column_name
  8   where at.owner  in ( 'STORELAND' )
  9     ---and at.table_name in ('LBM_VENTE_POSTE', 'LBM_CP_HISTO')
 10   order by at.table_name, ai.index_name, aic.column_position
 11  ;
TABLE_NAME                     STATUS     NUM_ROWS LAST_ANAL DATA_TYPE                      INDEX_NAME                     INDEX_TYPE                     UNIQUENES LEAF_BLOCKS DISTINCT_KEYS I_STATUS I_LAST_AN GLO COLUMN_NAME                    COLUMN_POSITION
ANNULE_VENTE_TMP               VALID             0 01-JUN-14 NUMBER                         ANNULE_VENTE_TMP_PK            NORMAL                         NONUNIQUE           0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
ANNULE_VENTE_TMP               VALID             0 01-JUN-14 DATE                           ANNULE_VENTE_TMP_PK            NORMAL                         NONUNIQUE           0             0 VALID    01-JUN-14 YES JOURDEVENTE                                  2
ANOMALIES_RECEPTION_DEPOT      VALID             0 01-JUN-14 NUMBER                         ANOMALIES_RECEPTION_DEPOT_PK   NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEDEPOT                                    1
ANOMALIES_RECEPTION_DEPOT      VALID             0 01-JUN-14 VARCHAR2                       ANOMALIES_RECEPTION_DEPOT_PK   NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODERECEPTION                                2
ANOMALIES_RECEPTION_DEPOT      VALID             0 01-JUN-14 NUMBER                         ANOMALIES_RECEPTION_DEPOT_PK   NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODETYPEANOMALIERCP                          3
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODESAISON                                   2
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD0                               3
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD1                               4
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD2                               5
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD3                               6
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEPRODUIT                                  7
ARRET_REASSORT_MAGASIN         VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_MAGASIN_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECOLORIS                                  8
ARRET_REASSORT_MAGASIN_JOUR    VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_MAGASIN_JOUR_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
ARRET_REASSORT_MAGASIN_JOUR    VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_MAGASIN_JOUR_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES NOJOUR                                       2
ARRET_REASSORT_PRODUIT_JOUR    VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_PRODUIT_JOUR_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES NOJOUR                                       1
ARRET_REASSORT_PRODUIT_JOUR    VALID             0 01-JUN-14 VARCHAR2                       ARRET_REASSORT_PRODUIT_JOUR_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD3                               2
ARRET_REASSORT_SECTEUR         VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_SECTEUR_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEDEPOT                                    1
ARRET_REASSORT_SECTEUR         VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_SECTEUR_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODESECTEUR                                  2
ARRET_REASSORT_SECTEUR         VALID             0 01-JUN-14 NUMBER                         ARRET_REASSORT_SECTEUR_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES NOJOUR                                       3
ARTICLES                       VALID       5921459 04-OCT-17 VARCHAR2                       ARTICLES_FK1                   NORMAL                         UNIQUE          21760       5906110 VALID    04-OCT-17 YES CODEBARRES                                   1
ARTICLES                       VALID       5921459 04-OCT-17 VARCHAR2                       ARTICLES_FK2                   NORMAL                         UNIQUE          22224       5839418 VALID    04-OCT-17 YES CODEPRODUIT                                  1
ARTICLES                       VALID       5921459 04-OCT-17 VARCHAR2                       ARTICLES_FK2                   NORMAL                         UNIQUE          22224       5839418 VALID    04-OCT-17 YES CODECOLORIS                                  2
ARTICLES                       VALID       5921459 04-OCT-17 NUMBER                         ARTICLES_FK2                   NORMAL                         UNIQUE          22224       5839418 VALID    04-OCT-17 YES INDICE                                       3
ARTICLES                       VALID       5921459 04-OCT-17 NUMBER                         ARTICLES_FK2                   NORMAL                         UNIQUE          22224       5839418 VALID    04-OCT-17 YES INDICEVARIANTE                               4
ARTICLES                       VALID       5921459 04-OCT-17 NUMBER                         ARTICLES_FK3                   NORMAL                         NONUNIQUE       17802             3 VALID    04-OCT-17 YES CODEETAT                                     1
ARTICLES                       VALID       5921459 04-OCT-17 NUMBER                         ARTICLES_PK                    NORMAL                         UNIQUE          14368       5890193 VALID    04-OCT-17 YES CODEINTERNEARTICLE                           1
ARTICLES_AUTRES_DONNEES        VALID             0 01-JUN-14 NUMBER                         ARTICLES_AUTRES_DONNEES_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEINTERNEARTICLE                           1
ARTICLES_FOURNISSEURS          VALID             0 01-JUN-14 VARCHAR2                       ARTICLES_FOURNISSEURS_FK1      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEFOURNISSEUR                              1
ARTICLES_FOURNISSEURS          VALID             0 01-JUN-14 NUMBER                         ARTICLES_FOURNISSEURS_FK1      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEINTERNEARTICLE                           2
ARTICLES_FOURNISSEURS          VALID             0 01-JUN-14 NUMBER                         ARTICLES_FOURNISSEURS_PK       NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEINTERNEARTICLE                           1
ARTICLES_FOURNISSEURS          VALID             0 01-JUN-14 VARCHAR2                       ARTICLES_FOURNISSEURS_PK       NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEFOURNISSEUR                              2
ARTICLES_NO_SERIE              VALID             0 01-JUN-14 NUMBER                         ARTICLES_NO_SERIE_PK           NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEINTERNEARTICLE                           1
ARTICLES_NO_SERIE              VALID             0 01-JUN-14 VARCHAR2                       ARTICLES_NO_SERIE_PK           NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES NUMERODESERIE                                2
ARTICLES_NO_SERIE              VALID             0 01-JUN-14 NUMBER                         ARTICLES_NO_SERIE_PK           NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  3
ASSOCIATIONS_CLASSPROD_MARQUE  VALID             5 07-AUG-15 VARCHAR2                       ASSOC_CLASSPROD_MARQUE_PK      NORMAL                         UNIQUE              1             5 VALID    07-AUG-15 YES CODECLASSPROD0                               1
ASSOCIATIONS_CLASSPROD_MARQUE  VALID             5 07-AUG-15 VARCHAR2                       ASSOC_CLASSPROD_MARQUE_PK      NORMAL                         UNIQUE              1             5 VALID    07-AUG-15 YES CODECLASSPROD1                               2
ASSOCIATIONS_CLASSPROD_MARQUE  VALID             5 07-AUG-15 NUMBER                         ASSOC_CLASSPROD_MARQUE_PK      NORMAL                         UNIQUE              1             5 VALID    07-AUG-15 YES CODEELEMENTSTATMARQUE                        3
